,population size,function evaluations,bitflip probability,cross probability,fitness,execution
0,100,3000,0.01,0.01,641.0,0
1,100,3000,0.01,0.01,633.0,1
2,100,3000,0.01,0.01,631.0,2
3,100,3000,0.01,0.01,641.0,3
4,100,3000,0.01,0.01,638.0,4
5,100,3000,0.01,0.01,648.0,5
6,100,3000,0.01,0.01,635.0,6
7,100,3000,0.01,0.01,641.0,7
8,100,3000,0.01,0.01,641.0,8
9,100,3000,0.01,0.01,639.0,9
10,100,3000,0.01,0.01,642.0,10
11,100,3000,0.01,0.01,642.0,11
12,100,3000,0.01,0.01,632.0,12
13,100,3000,0.01,0.01,650.0,13
14,100,3000,0.01,0.01,647.0,14
15,100,3000,0.01,0.01,643.0,15
16,100,3000,0.01,0.01,643.0,16
17,100,3000,0.01,0.01,643.0,17
18,100,3000,0.01,0.01,651.0,18
19,100,3000,0.01,0.01,643.0,19
20,100,3000,0.01,0.01,635.0,20
21,100,3000,0.01,0.01,645.0,21
22,100,3000,0.01,0.01,645.0,22
23,100,3000,0.01,0.01,646.0,23
24,100,3000,0.01,0.01,646.0,24
25,100,3000,0.01,0.01,635.0,25
26,100,3000,0.01,0.01,642.0,26
27,100,3000,0.01,0.01,637.0,27
28,100,3000,0.01,0.01,638.0,28
29,100,3000,0.01,0.01,641.0,29
30,100,3000,0.01,0.1,667.0,0
31,100,3000,0.01,0.1,648.0,1
32,100,3000,0.01,0.1,652.0,2
33,100,3000,0.01,0.1,665.0,3
34,100,3000,0.01,0.1,645.0,4
35,100,3000,0.01,0.1,650.0,5
36,100,3000,0.01,0.1,652.0,6
37,100,3000,0.01,0.1,670.0,7
38,100,3000,0.01,0.1,658.0,8
39,100,3000,0.01,0.1,652.0,9
40,100,3000,0.01,0.1,656.0,10
41,100,3000,0.01,0.1,658.0,11
42,100,3000,0.01,0.1,641.0,12
43,100,3000,0.01,0.1,662.0,13
44,100,3000,0.01,0.1,658.0,14
45,100,3000,0.01,0.1,653.0,15
46,100,3000,0.01,0.1,651.0,16
47,100,3000,0.01,0.1,651.0,17
48,100,3000,0.01,0.1,663.0,18
49,100,3000,0.01,0.1,656.0,19
50,100,3000,0.01,0.1,657.0,20
51,100,3000,0.01,0.1,639.0,21
52,100,3000,0.01,0.1,648.0,22
53,100,3000,0.01,0.1,646.0,23
54,100,3000,0.01,0.1,665.0,24
55,100,3000,0.01,0.1,664.0,25
56,100,3000,0.01,0.1,651.0,26
57,100,3000,0.01,0.1,644.0,27
58,100,3000,0.01,0.1,660.0,28
59,100,3000,0.01,0.1,655.0,29
60,100,3000,0.01,0.5,685.0,0
61,100,3000,0.01,0.5,677.0,1
62,100,3000,0.01,0.5,678.0,2
63,100,3000,0.01,0.5,694.0,3
64,100,3000,0.01,0.5,681.0,4
65,100,3000,0.01,0.5,678.0,5
66,100,3000,0.01,0.5,679.0,6
67,100,3000,0.01,0.5,695.0,7
68,100,3000,0.01,0.5,675.0,8
69,100,3000,0.01,0.5,671.0,9
70,100,3000,0.01,0.5,679.0,10
71,100,3000,0.01,0.5,687.0,11
72,100,3000,0.01,0.5,674.0,12
73,100,3000,0.01,0.5,689.0,13
74,100,3000,0.01,0.5,669.0,14
75,100,3000,0.01,0.5,684.0,15
76,100,3000,0.01,0.5,674.0,16
