,population size,function evaluations,bitflip probability,cross probability,fitness,execution
131,100,3000,0.1,0.1,84.0,11
132,100,3000,0.1,0.1,80.0,12
133,100,3000,0.1,0.1,82.0,13
134,100,3000,0.1,0.1,80.0,14
135,100,3000,0.1,0.1,81.0,15
136,100,3000,0.1,0.1,82.0,16
137,100,3000,0.1,0.1,81.0,17
138,100,3000,0.1,0.1,81.0,18
139,100,3000,0.1,0.1,81.0,19
140,100,3000,0.1,0.1,81.0,20
141,100,3000,0.1,0.1,81.0,21
142,100,3000,0.1,0.1,80.0,22
143,100,3000,0.1,0.1,80.0,23
144,100,3000,0.1,0.1,82.0,24
145,100,3000,0.1,0.1,80.0,25
146,100,3000,0.1,0.1,82.0,26
147,100,3000,0.1,0.1,82.0,27
148,100,3000,0.1,0.1,80.0,28
149,100,3000,0.1,0.1,81.0,29
150,100,3000,0.1,0.5,81.0,0
151,100,3000,0.1,0.5,82.0,1
152,100,3000,0.1,0.5,82.0,2
153,100,3000,0.1,0.5,86.0,3
154,100,3000,0.1,0.5,82.0,4
155,100,3000,0.1,0.5,87.0,5
156,100,3000,0.1,0.5,85.0,6
157,100,3000,0.1,0.5,82.0,7
158,100,3000,0.1,0.5,82.0,8
159,100,3000,0.1,0.5,82.0,9
160,100,3000,0.1,0.5,82.0,10
161,100,3000,0.1,0.5,83.0,11
162,100,3000,0.1,0.5,82.0,12
163,100,3000,0.1,0.5,84.0,13
164,100,3000,0.1,0.5,83.0,14
165,100,3000,0.1,0.5,83.0,15
166,100,3000,0.1,0.5,86.0,16
167,100,3000,0.1,0.5,83.0,17
168,100,3000,0.1,0.5,83.0,18
169,100,3000,0.1,0.5,86.0,19
170,100,3000,0.1,0.5,85.0,20
171,100,3000,0.1,0.5,84.0,21
172,100,3000,0.1,0.5,83.0,22
173,100,3000,0.1,0.5,84.0,23
174,100,3000,0.1,0.5,85.0,24
175,100,3000,0.1,0.5,84.0,25
176,100,3000,0.1,0.5,85.0,26
177,100,3000,0.1,0.5,82.0,27
178,100,3000,0.1,0.5,83.0,28
