bitflip probability,cross probability,mean,std
0.01,0.01,91.23333333333333,1.5687318254659959
0.01,0.1,93.1,1.4703975535606837
0.01,0.5,98.0,1.1447029429446782
0.1,0.01,81.1,1.1551981469084396
0.1,0.1,81.2,1.0954451150103317
0.1,0.5,83.43333333333334,1.5687318254659974
0.2,0.01,75.2,1.6484057083468087
0.2,0.1,75.26666666666667,1.0148325268098513
0.2,0.5,76.1,1.6262925893598905
