Mutation Probability,Crossover Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.01,0.1,2178.633333333333,268.12921271775605,36.9,1.5165750888103096
0.01,0.2,2002.7,294.99060768215935,35.8,1.5177115259040728
0.01,0.3,1847.2,265.29221364504775,35.233333333333334,1.524135330522564
0.01,0.4,1670.7,234.47698953349274,34.06666666666667,1.3628907749221202
0.01,0.5,1683.9666666666667,246.2005747119729,34.2,1.374647290185302
0.01,0.6,1506.5,178.27057118807951,33.36666666666667,1.5643293888377874
0.01,0.7,1442.2666666666667,191.97125024216572,33.06666666666667,1.2298957997167566
0.01,0.8,1457.0,217.74993566648556,33.06666666666667,1.5297809925141153
0.01,0.9,1379.4,178.9624503092469,32.5,1.252583537031116
0.01,1.0,1291.8,171.83640977434882,31.9,1.322223832060581
0.02,0.1,2251.266666666667,306.0296281952671,37.5,1.8891705897672078
0.02,0.2,1973.9333333333334,308.00570229084747,35.833333333333336,1.9133529575668708
0.02,0.3,1910.5333333333333,237.733367500207,35.4,1.3544307876819293
0.02,0.4,1751.4,208.26915609208763,34.7,1.3429252681597996
0.02,0.5,1621.3333333333333,179.40598024348702,33.833333333333336,1.0199166069132672
0.02,0.6,1566.2333333333333,237.01734016782382,33.46666666666667,1.2521246311585852
0.02,0.7,1566.8333333333333,189.02072196807774,33.733333333333334,1.311312407431981
0.02,0.8,1534.6,208.81283485456527,33.4,1.2484473115254697
0.02,0.9,1347.7333333333333,178.8570867236307,32.4,1.2484473115254706
0.02,1.0,1304.6666666666667,136.2047984706735,32.1,1.1846722229638325
0.03,0.1,2607.0,342.9084526466964,38.9,1.787890299805313
0.03,0.2,2301.133333333333,320.7846773076954,38.03333333333333,1.8842968748696896
0.03,0.3,2158.3333333333335,284.430020886701,37.06666666666667,1.6174337556830527
0.03,0.4,2013.5333333333333,363.3725867227868,36.03333333333333,1.991072026846833
0.03,0.5,1881.4,289.3359340949905,35.53333333333333,1.888866351003697
0.03,0.6,1813.4,271.0571386512318,35.266666666666666,1.7406565018610838
0.03,0.7,1658.2,237.6841427696386,34.266666666666666,1.337350270918743
0.03,0.8,1586.2666666666667,276.1784697010916,33.666666666666664,1.8257418583505538
0.03,0.9,1526.8666666666666,230.10982884990662,33.3,1.5789564428051397
0.03,1.0,1496.0,282.230768869292,33.233333333333334,1.851063689236326
0.04,0.1,2988.6666666666665,439.8734405237044,41.56666666666667,2.0791797675398636
0.04,0.2,2794.9,382.50520393124435,40.5,2.14556479181172
0.04,0.3,2590.866666666667,370.1787763186614,39.666666666666664,1.9884725264649117
0.04,0.4,2312.9,323.68496284568704,38.46666666666667,1.7759569219172373
0.04,0.5,2242.2,367.8854206932108,37.6,2.17509413193053
