Mutation Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.01,1646.0166666666667,354.39365013084796,34.01,2.0438094800238695
0.02,1682.8533333333332,355.87896530803556,34.236666666666665,2.0885070652087907
0.03,1904.2133333333334,451.84655824318304,35.53,2.5647012121672774
0.04,2247.7033333333334,524.8526615887652,37.74333333333333,2.877218014081896
0.05,2722.463333333333,680.3037699343183,40.35,3.237659875831907
0.06,3429.54,953.5727616561703,43.38,3.8294231426353402
0.07,4387.816666666667,1241.789057475723,47.03666666666667,4.409095443624713
0.08,5837.966666666666,1805.4759270895545,53.31333333333333,6.370014062208289
0.09,8107.556666666666,2715.1227877631954,61.016666666666666,8.781425491785573
0.1,11029.126666666667,3916.066850281685,69.94666666666667,11.96247570413956
