Mutation Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.01,49.99333333333333,0.08151300584956382,38.586666666666666,1.3497759837258319
0.02,50.0,0.0,39.446666666666665,3.056954714960619
0.03,49.99,0.09966499068325618,39.25333333333333,1.7529207987368882
0.04,49.873333333333335,0.3430468764182148,39.96,2.742895962458211
0.05,49.61666666666667,0.6199489316185159,40.45333333333333,3.002978825818889
0.06,49.166666666666664,0.753290810847909,40.18333333333333,2.8700486907332268
0.07,48.596666666666664,0.8463904604815687,40.233333333333334,2.6825751783526903
0.08,47.99666666666667,0.8713129036934385,39.51,1.4387959477508314
0.09,47.44,0.981296664527451,39.36,0.8482127580643568
0.1,46.85333333333333,0.9564893072438466,39.31666666666667,0.5514246270221459
