Crossover Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.1,48.343333333333334,1.5621320079482561,39.44,2.5862512739820738
0.2,48.56666666666667,1.5010215770617477,39.56333333333333,2.4066495581773317
0.3,48.75333333333333,1.4233441552096329,39.52333333333333,1.74918678349896
0.4,48.92666666666667,1.256936162770342,39.42,2.201458926412725
0.5,48.99,1.244345068230442,39.49,2.0058192931541234
0.6,49.07333333333333,1.199758429791217,39.57333333333333,2.2213517432966445
0.7,49.11666666666667,1.1316614988807552,39.72666666666667,2.6194453360302057
0.8,49.18,1.1128318151587229,39.516666666666666,1.8801165788471024
0.9,49.27,1.0459829193435795,40.026666666666664,2.2604544683685712
1.0,49.306666666666665,1.0112852623411093,40.02333333333333,2.6304345983397313
