Mutation Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.01,97.59,2.277246768097236,42.13,1.0631089637926636
0.02,96.27666666666667,2.282723148375478,42.04,0.7258255592598831
0.03,93.99333333333334,2.3146954310847283,42.223333333333336,1.1273977297412114
0.04,92.11,2.119640595520975,42.406666666666666,0.8145554354453745
0.05,90.22666666666667,2.1190225129187263,43.50666666666667,2.966359133785197
0.06,88.41666666666667,2.0713983665304703,45.28666666666667,4.66730844448297
0.07,86.83,1.8599187237250048,44.06666666666667,2.6869352353101816
0.08,85.60666666666667,1.861048241560037,42.87,0.6333274657945582
0.09,84.34333333333333,1.7015010751051767,43.52,2.1459146844122037
0.1,83.10333333333334,1.6314188037614505,42.84,0.7322481075222501
