bitflip probability,cross probability,mean,std
0.0001,0.6,76.96666666666667,1.8842968748696929
0.0001,0.7,79.23333333333333,2.787698758441466
0.0001,0.8,79.63333333333334,2.385058856113709
0.0001,0.9,80.43333333333334,3.244978437135022
0.0001,0.95,81.66666666666667,2.482119968943863
0.0005,0.6,78.8,2.483045960384005
0.0005,0.7,79.9,2.4684212461157977
0.0005,0.8,80.63333333333334,2.125109868694554
0.0005,0.9,82.16666666666667,2.587547545234788
0.0005,0.95,81.7,1.8781869467378753
0.001,0.6,78.46666666666667,1.8519948859193054
0.001,0.7,80.26666666666667,2.2273121784406174
0.001,0.8,81.33333333333333,2.3242845889810284
0.001,0.9,82.46666666666667,2.2242136670701402
0.001,0.95,81.8,2.1877401346027665
0.005,0.6,81.53333333333333,2.300424748386372
0.005,0.7,82.4,2.2682212383731195
0.005,0.8,83.03333333333333,1.9205482933595894
0.005,0.9,84.73333333333333,1.8742048122232848
0.005,0.95,84.96666666666667,2.3265089035206645
0.01,0.6,82.56666666666666,2.0457413011581815
0.01,0.7,83.36666666666666,1.6291172420994604
0.01,0.8,83.43333333333334,1.5905612397739564
0.01,0.9,84.7,1.784028761172212
0.01,0.95,84.46666666666667,1.8519948859193043
