Crossover Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.1,86.93666666666667,4.225181980077476,42.79666666666667,1.9185737688651685
0.2,87.96666666666667,4.454026274702605,42.9,2.4185736142940106
0.3,88.74333333333334,4.83411672427363,43.06333333333333,3.0774814153397294
0.4,89.28,5.00183244013605,42.63333333333333,1.5834286775259538
0.5,89.94333333333333,4.950604390880534,42.93333333333333,1.9221179325710684
0.6,90.46,5.068269710614441,43.14666666666667,3.065367375379721
0.7,90.88,5.211153461695187,43.09,1.4336729265075232
0.8,91.16666666666667,5.261606589426364,43.31,2.3133826165238593
0.9,91.51,5.281054039921871,43.46666666666667,2.470336839899386
1.0,91.61,5.40635387367105,43.55,2.7542912702431774
