,Execution,Population Size,Problem Size,Evaluations,Mutation Probability,Crossover Probability,Fitness,Max Evaluations,Elapsed Time (ms)
1980,0,100,100,3000,0.07,0.7,90.0,3000,43.0
1981,1,100,100,3000,0.07,0.7,88.0,3000,43.0
1982,2,100,100,3000,0.07,0.7,86.0,3000,43.0
1983,3,100,100,3000,0.07,0.7,89.0,3000,43.0
1984,4,100,100,3000,0.07,0.7,89.0,3000,43.0
1985,5,100,100,3000,0.07,0.7,87.0,3000,43.0
1986,6,100,100,3000,0.07,0.7,87.0,3000,43.0
1987,7,100,100,3000,0.07,0.7,89.0,3000,43.0
1988,8,100,100,3000,0.07,0.7,89.0,3000,44.0
1989,9,100,100,3000,0.07,0.7,87.0,3000,43.0
1990,10,100,100,3000,0.07,0.7,88.0,3000,43.0
1991,11,100,100,3000,0.07,0.7,87.0,3000,43.0
1992,12,100,100,3000,0.07,0.7,90.0,3000,43.0
1993,13,100,100,3000,0.07,0.7,86.0,3000,43.0
1994,14,100,100,3000,0.07,0.7,88.0,3000,43.0
1995,15,100,100,3000,0.07,0.7,89.0,3000,43.0
1996,16,100,100,3000,0.07,0.7,86.0,3000,43.0
1997,17,100,100,3000,0.07,0.7,87.0,3000,43.0
1998,18,100,100,3000,0.07,0.7,87.0,3000,43.0
1999,19,100,100,3000,0.07,0.7,90.0,3000,44.0
2000,20,100,100,3000,0.07,0.7,85.0,3000,44.0
2001,21,100,100,3000,0.07,0.7,89.0,3000,45.0
2002,22,100,100,3000,0.07,0.7,88.0,3000,49.0
2003,23,100,100,3000,0.07,0.7,87.0,3000,45.0
2004,24,100,100,3000,0.07,0.7,86.0,3000,47.0
2005,25,100,100,3000,0.07,0.7,88.0,3000,44.0
2006,26,100,100,3000,0.07,0.7,87.0,3000,43.0
2007,27,100,100,3000,0.07,0.7,88.0,3000,43.0
2008,28,100,100,3000,0.07,0.7,90.0,3000,43.0
2009,29,100,100,3000,0.07,0.7,87.0,3000,45.0
2010,0,100,100,3000,0.07,0.8,88.0,3000,45.0
2011,1,100,100,3000,0.07,0.8,87.0,3000,43.0
2012,2,100,100,3000,0.07,0.8,87.0,3000,43.0
2013,3,100,100,3000,0.07,0.8,89.0,3000,43.0
2014,4,100,100,3000,0.07,0.8,86.0,3000,43.0
2015,5,100,100,3000,0.07,0.8,89.0,3000,44.0
2016,6,100,100,3000,0.07,0.8,86.0,3000,43.0
2017,7,100,100,3000,0.07,0.8,89.0,3000,43.0
2018,8,100,100,3000,0.07,0.8,87.0,3000,43.0
2019,9,100,100,3000,0.07,0.8,87.0,3000,43.0
2020,10,100,100,3000,0.07,0.8,87.0,3000,43.0
2021,11,100,100,3000,0.07,0.8,88.0,3000,43.0
2022,12,100,100,3000,0.07,0.8,86.0,3000,44.0
2023,13,100,100,3000,0.07,0.8,87.0,3000,43.0
2024,14,100,100,3000,0.07,0.8,86.0,3000,65.0
2025,15,100,100,3000,0.07,0.8,88.0,3000,44.0
2026,16,100,100,3000,0.07,0.8,87.0,3000,46.0
2027,17,100,100,3000,0.07,0.8,88.0,3000,43.0
2028,18,100,100,3000,0.07,0.8,87.0,3000,44.0
2029,19,100,100,3000,0.07,0.8,87.0,3000,43.0
2030,20,100,100,3000,0.07,0.8,88.0,3000,44.0
2031,21,100,100,3000,0.07,0.8,89.0,3000,43.0
2032,22,100,100,3000,0.07,0.8,88.0,3000,43.0
2033,23,100,100,3000,0.07,0.8,88.0,3000,43.0
2034,24,100,100,3000,0.07,0.8,87.0,3000,43.0
2035,25,100,100,3000,0.07,0.8,88.0,3000,42.0
2036,26,100,100,3000,0.07,0.8,90.0,3000,43.0
2037,27,100,100,3000,0.07,0.8,87.0,3000,42.0
2038,28,100,100,3000,0.07,0.8,86.0,3000,43.0
2039,29,100,100,3000,0.07,0.8,90.0,3000,43.0
2040,0,100,100,3000,0.07,0.9,87.0,3000,43.0
2041,1,100,100,3000,0.07,0.9,91.0,3000,43.0
2042,2,100,100,3000,0.07,0.9,90.0,3000,44.0
2043,3,100,100,3000,0.07,0.9,89.0,3000,43.0
2044,4,100,100,3000,0.07,0.9,89.0,3000,43.0
2045,5,100,100,3000,0.07,0.9,87.0,3000,43.0
2046,6,100,100,3000,0.07,0.9,87.0,3000,43.0
2047,7,100,100,3000,0.07,0.9,87.0,3000,43.0
2048,8,100,100,3000,0.07,0.9,88.0,3000,43.0
2049,9,100,100,3000,0.07,0.9,89.0,3000,44.0
2050,10,100,100,3000,0.07,0.9,88.0,3000,42.0
2051,11,100,100,3000,0.07,0.9,90.0,3000,43.0
2052,12,100,100,3000,0.07,0.9,86.0,3000,43.0
2053,13,100,100,3000,0.07,0.9,87.0,3000,43.0
2054,14,100,100,3000,0.07,0.9,89.0,3000,44.0
2055,15,100,100,3000,0.07,0.9,87.0,3000,43.0
2056,16,100,100,3000,0.07,0.9,87.0,3000,44.0
2057,17,100,100,3000,0.07,0.9,90.0,3000,43.0
2058,18,100,100,3000,0.07,0.9,87.0,3000,43.0
2059,19,100,100,3000,0.07,0.9,89.0,3000,42.0
2060,20,100,100,3000,0.07,0.9,89.0,3000,43.0
2061,21,100,100,3000,0.07,0.9,90.0,3000,43.0
2062,22,100,100,3000,0.07,0.9,90.0,3000,43.0
2063,23,100,100,3000,0.07,0.9,89.0,3000,44.0
2064,24,100,100,3000,0.07,0.9,89.0,3000,43.0
2065,25,100,100,3000,0.07,0.9,88.0,3000,43.0
2066,26,100,100,3000,0.07,0.9,88.0,3000,43.0
2067,27,100,100,3000,0.07,0.9,89.0,3000,43.0
2068,28,100,100,3000,0.07,0.9,89.0,3000,43.0
2069,29,100,100,3000,0.07,0.9,90.0,3000,43.0
2070,0,100,100,3000,0.07,1.0,87.0,3000,44.0
2071,1,100,100,3000,0.07,1.0,88.0,3000,43.0
2072,2,100,100,3000,0.07,1.0,91.0,3000,43.0
2073,3,100,100,3000,0.07,1.0,88.0,3000,43.0
2074,4,100,100,3000,0.07,1.0,88.0,3000,43.0
2075,5,100,100,3000,0.07,1.0,88.0,3000,43.0
2076,6,100,100,3000,0.07,1.0,88.0,3000,44.0
2077,7,100,100,3000,0.07,1.0,90.0,3000,44.0
2078,8,100,100,3000,0.07,1.0,90.0,3000,42.0
2079,9,100,100,3000,0.07,1.0,89.0,3000,43.0
2080,10,100,100,3000,0.07,1.0,89.0,3000,43.0
2081,11,100,100,3000,0.07,1.0,89.0,3000,46.0
2082,12,100,100,3000,0.07,1.0,88.0,3000,44.0
2083,13,100,100,3000,0.07,1.0,88.0,3000,43.0
2084,14,100,100,3000,0.07,1.0,87.0,3000,43.0
2085,15,100,100,3000,0.07,1.0,89.0,3000,43.0
2086,16,100,100,3000,0.07,1.0,91.0,3000,43.0
2087,17,100,100,3000,0.07,1.0,90.0,3000,46.0
2088,18,100,100,3000,0.07,1.0,87.0,3000,44.0
2089,19,100,100,3000,0.07,1.0,88.0,3000,43.0
2090,20,100,100,3000,0.07,1.0,87.0,3000,45.0
2091,21,100,100,3000,0.07,1.0,86.0,3000,45.0
2092,22,100,100,3000,0.07,1.0,90.0,3000,43.0
2093,23,100,100,3000,0.07,1.0,91.0,3000,45.0
2094,24,100,100,3000,0.07,1.0,88.0,3000,44.0
2095,25,100,100,3000,0.07,1.0,88.0,3000,44.0
2096,26,100,100,3000,0.07,1.0,89.0,3000,45.0
2097,27,100,100,3000,0.07,1.0,88.0,3000,45.0
2098,28,100,100,3000,0.07,1.0,89.0,3000,46.0
2099,29,100,100,3000,0.07,1.0,87.0,3000,48.0
2100,0,100,100,3000,0.08,0.1,81.0,3000,46.0
2101,1,100,100,3000,0.08,0.1,84.0,3000,44.0
2102,2,100,100,3000,0.08,0.1,84.0,3000,44.0
2103,3,100,100,3000,0.08,0.1,83.0,3000,42.0
2104,4,100,100,3000,0.08,0.1,86.0,3000,43.0
2105,5,100,100,3000,0.08,0.1,83.0,3000,42.0
2106,6,100,100,3000,0.08,0.1,83.0,3000,43.0
2107,7,100,100,3000,0.08,0.1,82.0,3000,43.0
2108,8,100,100,3000,0.08,0.1,82.0,3000,43.0
2109,9,100,100,3000,0.08,0.1,83.0,3000,43.0
2110,10,100,100,3000,0.08,0.1,83.0,3000,43.0
2111,11,100,100,3000,0.08,0.1,82.0,3000,44.0
2112,12,100,100,3000,0.08,0.1,84.0,3000,42.0
2113,13,100,100,3000,0.08,0.1,84.0,3000,43.0
2114,14,100,100,3000,0.08,0.1,83.0,3000,43.0
2115,15,100,100,3000,0.08,0.1,83.0,3000,42.0
2116,16,100,100,3000,0.08,0.1,85.0,3000,42.0
2117,17,100,100,3000,0.08,0.1,83.0,3000,43.0
2118,18,100,100,3000,0.08,0.1,83.0,3000,42.0
2119,19,100,100,3000,0.08,0.1,85.0,3000,43.0
2120,20,100,100,3000,0.08,0.1,82.0,3000,43.0
2121,21,100,100,3000,0.08,0.1,82.0,3000,43.0
2122,22,100,100,3000,0.08,0.1,84.0,3000,42.0
2123,23,100,100,3000,0.08,0.1,82.0,3000,43.0
2124,24,100,100,3000,0.08,0.1,84.0,3000,43.0
2125,25,100,100,3000,0.08,0.1,83.0,3000,42.0
2126,26,100,100,3000,0.08,0.1,82.0,3000,42.0
2127,27,100,100,3000,0.08,0.1,85.0,3000,42.0
2128,28,100,100,3000,0.08,0.1,85.0,3000,42.0
2129,29,100,100,3000,0.08,0.1,83.0,3000,43.0
2130,0,100,100,3000,0.08,0.2,83.0,3000,41.0
2131,1,100,100,3000,0.08,0.2,85.0,3000,42.0
2132,2,100,100,3000,0.08,0.2,84.0,3000,42.0
2133,3,100,100,3000,0.08,0.2,83.0,3000,42.0
2134,4,100,100,3000,0.08,0.2,85.0,3000,42.0
2135,5,100,100,3000,0.08,0.2,83.0,3000,43.0
2136,6,100,100,3000,0.08,0.2,85.0,3000,43.0
2137,7,100,100,3000,0.08,0.2,84.0,3000,42.0
2138,8,100,100,3000,0.08,0.2,84.0,3000,42.0
2139,9,100,100,3000,0.08,0.2,85.0,3000,43.0
2140,10,100,100,3000,0.08,0.2,82.0,3000,41.0
2141,11,100,100,3000,0.08,0.2,83.0,3000,42.0
2142,12,100,100,3000,0.08,0.2,82.0,3000,43.0
2143,13,100,100,3000,0.08,0.2,88.0,3000,43.0
2144,14,100,100,3000,0.08,0.2,85.0,3000,43.0
2145,15,100,100,3000,0.08,0.2,82.0,3000,43.0
2146,16,100,100,3000,0.08,0.2,84.0,3000,42.0
2147,17,100,100,3000,0.08,0.2,84.0,3000,43.0
2148,18,100,100,3000,0.08,0.2,84.0,3000,43.0
2149,19,100,100,3000,0.08,0.2,85.0,3000,43.0
2150,20,100,100,3000,0.08,0.2,84.0,3000,43.0
2151,21,100,100,3000,0.08,0.2,86.0,3000,43.0
2152,22,100,100,3000,0.08,0.2,82.0,3000,43.0
2153,23,100,100,3000,0.08,0.2,83.0,3000,43.0
2154,24,100,100,3000,0.08,0.2,84.0,3000,43.0
2155,25,100,100,3000,0.08,0.2,86.0,3000,42.0
2156,26,100,100,3000,0.08,0.2,84.0,3000,43.0
2157,27,100,100,3000,0.08,0.2,82.0,3000,43.0
2158,28,100,100,3000,0.08,0.2,85.0,3000,43.0
2159,29,100,100,3000,0.08,0.2,86.0,3000,42.0
2160,0,100,100,3000,0.08,0.3,86.0,3000,42.0
2161,1,100,100,3000,0.08,0.3,82.0,3000,43.0
2162,2,100,100,3000,0.08,0.3,83.0,3000,42.0
2163,3,100,100,3000,0.08,0.3,84.0,3000,43.0
2164,4,100,100,3000,0.08,0.3,85.0,3000,43.0
2165,5,100,100,3000,0.08,0.3,84.0,3000,43.0
2166,6,100,100,3000,0.08,0.3,83.0,3000,43.0
2167,7,100,100,3000,0.08,0.3,83.0,3000,43.0
2168,8,100,100,3000,0.08,0.3,84.0,3000,44.0
2169,9,100,100,3000,0.08,0.3,86.0,3000,43.0
2170,10,100,100,3000,0.08,0.3,85.0,3000,42.0
2171,11,100,100,3000,0.08,0.3,87.0,3000,44.0
2172,12,100,100,3000,0.08,0.3,90.0,3000,44.0
2173,13,100,100,3000,0.08,0.3,84.0,3000,43.0
2174,14,100,100,3000,0.08,0.3,84.0,3000,42.0
2175,15,100,100,3000,0.08,0.3,86.0,3000,42.0
2176,16,100,100,3000,0.08,0.3,86.0,3000,43.0
2177,17,100,100,3000,0.08,0.3,85.0,3000,44.0
2178,18,100,100,3000,0.08,0.3,83.0,3000,43.0
2179,19,100,100,3000,0.08,0.3,88.0,3000,44.0
2180,20,100,100,3000,0.08,0.3,82.0,3000,42.0
2181,21,100,100,3000,0.08,0.3,83.0,3000,42.0
2182,22,100,100,3000,0.08,0.3,86.0,3000,43.0
2183,23,100,100,3000,0.08,0.3,85.0,3000,43.0
2184,24,100,100,3000,0.08,0.3,87.0,3000,42.0
2185,25,100,100,3000,0.08,0.3,84.0,3000,43.0
2186,26,100,100,3000,0.08,0.3,83.0,3000,43.0
2187,27,100,100,3000,0.08,0.3,84.0,3000,43.0
2188,28,100,100,3000,0.08,0.3,87.0,3000,42.0
2189,29,100,100,3000,0.08,0.3,85.0,3000,43.0
2190,0,100,100,3000,0.08,0.4,84.0,3000,43.0
2191,1,100,100,3000,0.08,0.4,86.0,3000,42.0
2192,2,100,100,3000,0.08,0.4,86.0,3000,43.0
2193,3,100,100,3000,0.08,0.4,86.0,3000,43.0
2194,4,100,100,3000,0.08,0.4,84.0,3000,42.0
2195,5,100,100,3000,0.08,0.4,86.0,3000,43.0
2196,6,100,100,3000,0.08,0.4,86.0,3000,42.0
2197,7,100,100,3000,0.08,0.4,85.0,3000,42.0
2198,8,100,100,3000,0.08,0.4,86.0,3000,42.0
2199,9,100,100,3000,0.08,0.4,88.0,3000,42.0
2200,10,100,100,3000,0.08,0.4,86.0,3000,43.0
2201,11,100,100,3000,0.08,0.4,84.0,3000,42.0
2202,12,100,100,3000,0.08,0.4,83.0,3000,42.0
2203,13,100,100,3000,0.08,0.4,86.0,3000,42.0
2204,14,100,100,3000,0.08,0.4,86.0,3000,42.0
2205,15,100,100,3000,0.08,0.4,86.0,3000,43.0
2206,16,100,100,3000,0.08,0.4,84.0,3000,42.0
2207,17,100,100,3000,0.08,0.4,86.0,3000,43.0
2208,18,100,100,3000,0.08,0.4,84.0,3000,42.0
2209,19,100,100,3000,0.08,0.4,84.0,3000,43.0
2210,20,100,100,3000,0.08,0.4,85.0,3000,43.0
2211,21,100,100,3000,0.08,0.4,85.0,3000,43.0
2212,22,100,100,3000,0.08,0.4,85.0,3000,43.0
2213,23,100,100,3000,0.08,0.4,85.0,3000,43.0
2214,24,100,100,3000,0.08,0.4,85.0,3000,42.0
2215,25,100,100,3000,0.08,0.4,86.0,3000,42.0
2216,26,100,100,3000,0.08,0.4,84.0,3000,43.0
2217,27,100,100,3000,0.08,0.4,85.0,3000,43.0
2218,28,100,100,3000,0.08,0.4,85.0,3000,43.0
2219,29,100,100,3000,0.08,0.4,85.0,3000,43.0
2220,0,100,100,3000,0.08,0.5,85.0,3000,43.0
2221,1,100,100,3000,0.08,0.5,86.0,3000,42.0
2222,2,100,100,3000,0.08,0.5,85.0,3000,44.0
2223,3,100,100,3000,0.08,0.5,87.0,3000,43.0
2224,4,100,100,3000,0.08,0.5,84.0,3000,42.0
2225,5,100,100,3000,0.08,0.5,87.0,3000,43.0
2226,6,100,100,3000,0.08,0.5,88.0,3000,43.0
2227,7,100,100,3000,0.08,0.5,86.0,3000,43.0
2228,8,100,100,3000,0.08,0.5,86.0,3000,43.0
2229,9,100,100,3000,0.08,0.5,86.0,3000,43.0
2230,10,100,100,3000,0.08,0.5,86.0,3000,43.0
2231,11,100,100,3000,0.08,0.5,89.0,3000,43.0
2232,12,100,100,3000,0.08,0.5,87.0,3000,43.0
2233,13,100,100,3000,0.08,0.5,87.0,3000,43.0
2234,14,100,100,3000,0.08,0.5,83.0,3000,43.0
2235,15,100,100,3000,0.08,0.5,86.0,3000,43.0
2236,16,100,100,3000,0.08,0.5,84.0,3000,42.0
2237,17,100,100,3000,0.08,0.5,86.0,3000,42.0
2238,18,100,100,3000,0.08,0.5,85.0,3000,42.0
2239,19,100,100,3000,0.08,0.5,84.0,3000,43.0
2240,20,100,100,3000,0.08,0.5,86.0,3000,44.0
2241,21,100,100,3000,0.08,0.5,87.0,3000,42.0
2242,22,100,100,3000,0.08,0.5,87.0,3000,43.0
2243,23,100,100,3000,0.08,0.5,85.0,3000,42.0
2244,24,100,100,3000,0.08,0.5,86.0,3000,43.0
2245,25,100,100,3000,0.08,0.5,84.0,3000,42.0
2246,26,100,100,3000,0.08,0.5,85.0,3000,43.0
2247,27,100,100,3000,0.08,0.5,85.0,3000,42.0
2248,28,100,100,3000,0.08,0.5,86.0,3000,42.0
2249,29,100,100,3000,0.08,0.5,83.0,3000,43.0
2250,0,100,100,3000,0.08,0.6,87.0,3000,43.0
2251,1,100,100,3000,0.08,0.6,88.0,3000,43.0
2252,2,100,100,3000,0.08,0.6,86.0,3000,42.0
2253,3,100,100,3000,0.08,0.6,87.0,3000,42.0
2254,4,100,100,3000,0.08,0.6,85.0,3000,43.0
2255,5,100,100,3000,0.08,0.6,85.0,3000,43.0
2256,6,100,100,3000,0.08,0.6,87.0,3000,43.0
2257,7,100,100,3000,0.08,0.6,86.0,3000,44.0
2258,8,100,100,3000,0.08,0.6,88.0,3000,43.0
2259,9,100,100,3000,0.08,0.6,87.0,3000,43.0
2260,10,100,100,3000,0.08,0.6,86.0,3000,43.0
2261,11,100,100,3000,0.08,0.6,83.0,3000,43.0
2262,12,100,100,3000,0.08,0.6,87.0,3000,42.0
2263,13,100,100,3000,0.08,0.6,86.0,3000,43.0
2264,14,100,100,3000,0.08,0.6,89.0,3000,43.0
2265,15,100,100,3000,0.08,0.6,85.0,3000,43.0
2266,16,100,100,3000,0.08,0.6,86.0,3000,43.0
2267,17,100,100,3000,0.08,0.6,84.0,3000,42.0
2268,18,100,100,3000,0.08,0.6,84.0,3000,43.0
2269,19,100,100,3000,0.08,0.6,86.0,3000,43.0
2270,20,100,100,3000,0.08,0.6,85.0,3000,43.0
2271,21,100,100,3000,0.08,0.6,84.0,3000,42.0
2272,22,100,100,3000,0.08,0.6,88.0,3000,43.0
2273,23,100,100,3000,0.08,0.6,84.0,3000,43.0
2274,24,100,100,3000,0.08,0.6,86.0,3000,43.0
2275,25,100,100,3000,0.08,0.6,89.0,3000,44.0
2276,26,100,100,3000,0.08,0.6,85.0,3000,44.0
2277,27,100,100,3000,0.08,0.6,86.0,3000,43.0
2278,28,100,100,3000,0.08,0.6,86.0,3000,43.0
2279,29,100,100,3000,0.08,0.6,88.0,3000,43.0
2280,0,100,100,3000,0.08,0.7,89.0,3000,44.0
2281,1,100,100,3000,0.08,0.7,87.0,3000,44.0
2282,2,100,100,3000,0.08,0.7,89.0,3000,42.0
2283,3,100,100,3000,0.08,0.7,89.0,3000,43.0
2284,4,100,100,3000,0.08,0.7,86.0,3000,43.0
2285,5,100,100,3000,0.08,0.7,85.0,3000,44.0
2286,6,100,100,3000,0.08,0.7,85.0,3000,43.0
2287,7,100,100,3000,0.08,0.7,85.0,3000,43.0
2288,8,100,100,3000,0.08,0.7,88.0,3000,43.0
2289,9,100,100,3000,0.08,0.7,87.0,3000,43.0
2290,10,100,100,3000,0.08,0.7,86.0,3000,43.0
2291,11,100,100,3000,0.08,0.7,84.0,3000,43.0
2292,12,100,100,3000,0.08,0.7,86.0,3000,42.0
2293,13,100,100,3000,0.08,0.7,86.0,3000,43.0
2294,14,100,100,3000,0.08,0.7,88.0,3000,43.0
2295,15,100,100,3000,0.08,0.7,87.0,3000,43.0
2296,16,100,100,3000,0.08,0.7,85.0,3000,42.0
2297,17,100,100,3000,0.08,0.7,87.0,3000,43.0
2298,18,100,100,3000,0.08,0.7,85.0,3000,43.0
2299,19,100,100,3000,0.08,0.7,86.0,3000,43.0
2300,20,100,100,3000,0.08,0.7,85.0,3000,42.0
2301,21,100,100,3000,0.08,0.7,85.0,3000,43.0
2302,22,100,100,3000,0.08,0.7,85.0,3000,43.0
2303,23,100,100,3000,0.08,0.7,85.0,3000,43.0
2304,24,100,100,3000,0.08,0.7,89.0,3000,42.0
2305,25,100,100,3000,0.08,0.7,86.0,3000,43.0
2306,26,100,100,3000,0.08,0.7,85.0,3000,43.0
2307,27,100,100,3000,0.08,0.7,89.0,3000,42.0
2308,28,100,100,3000,0.08,0.7,86.0,3000,43.0
2309,29,100,100,3000,0.08,0.7,87.0,3000,43.0
2310,0,100,100,3000,0.08,0.8,87.0,3000,43.0
2311,1,100,100,3000,0.08,0.8,90.0,3000,44.0
2312,2,100,100,3000,0.08,0.8,89.0,3000,44.0
2313,3,100,100,3000,0.08,0.8,85.0,3000,43.0
2314,4,100,100,3000,0.08,0.8,88.0,3000,43.0
2315,5,100,100,3000,0.08,0.8,88.0,3000,42.0
2316,6,100,100,3000,0.08,0.8,86.0,3000,43.0
2317,7,100,100,3000,0.08,0.8,86.0,3000,43.0
2318,8,100,100,3000,0.08,0.8,88.0,3000,43.0
2319,9,100,100,3000,0.08,0.8,86.0,3000,43.0
2320,10,100,100,3000,0.08,0.8,88.0,3000,43.0
2321,11,100,100,3000,0.08,0.8,87.0,3000,43.0
2322,12,100,100,3000,0.08,0.8,88.0,3000,43.0
2323,13,100,100,3000,0.08,0.8,86.0,3000,44.0
2324,14,100,100,3000,0.08,0.8,87.0,3000,42.0
2325,15,100,100,3000,0.08,0.8,89.0,3000,43.0
2326,16,100,100,3000,0.08,0.8,89.0,3000,42.0
2327,17,100,100,3000,0.08,0.8,85.0,3000,43.0
2328,18,100,100,3000,0.08,0.8,88.0,3000,43.0
2329,19,100,100,3000,0.08,0.8,87.0,3000,44.0
2330,20,100,100,3000,0.08,0.8,86.0,3000,44.0
2331,21,100,100,3000,0.08,0.8,84.0,3000,43.0
2332,22,100,100,3000,0.08,0.8,85.0,3000,43.0
2333,23,100,100,3000,0.08,0.8,87.0,3000,43.0
2334,24,100,100,3000,0.08,0.8,85.0,3000,43.0
2335,25,100,100,3000,0.08,0.8,86.0,3000,43.0
2336,26,100,100,3000,0.08,0.8,85.0,3000,43.0
2337,27,100,100,3000,0.08,0.8,86.0,3000,43.0
2338,28,100,100,3000,0.08,0.8,84.0,3000,43.0
2339,29,100,100,3000,0.08,0.8,88.0,3000,43.0
2340,0,100,100,3000,0.08,0.9,86.0,3000,43.0
2341,1,100,100,3000,0.08,0.9,91.0,3000,43.0
2342,2,100,100,3000,0.08,0.9,86.0,3000,43.0
2343,3,100,100,3000,0.08,0.9,86.0,3000,43.0
2344,4,100,100,3000,0.08,0.9,85.0,3000,43.0
2345,5,100,100,3000,0.08,0.9,85.0,3000,43.0
2346,6,100,100,3000,0.08,0.9,87.0,3000,43.0
2347,7,100,100,3000,0.08,0.9,88.0,3000,42.0
2348,8,100,100,3000,0.08,0.9,85.0,3000,44.0
2349,9,100,100,3000,0.08,0.9,86.0,3000,43.0
2350,10,100,100,3000,0.08,0.9,87.0,3000,43.0
2351,11,100,100,3000,0.08,0.9,88.0,3000,43.0
2352,12,100,100,3000,0.08,0.9,86.0,3000,43.0
2353,13,100,100,3000,0.08,0.9,89.0,3000,43.0
2354,14,100,100,3000,0.08,0.9,88.0,3000,43.0
2355,15,100,100,3000,0.08,0.9,88.0,3000,43.0
2356,16,100,100,3000,0.08,0.9,86.0,3000,43.0
2357,17,100,100,3000,0.08,0.9,87.0,3000,43.0
2358,18,100,100,3000,0.08,0.9,87.0,3000,44.0
2359,19,100,100,3000,0.08,0.9,86.0,3000,43.0
2360,20,100,100,3000,0.08,0.9,86.0,3000,43.0
2361,21,100,100,3000,0.08,0.9,86.0,3000,43.0
2362,22,100,100,3000,0.08,0.9,85.0,3000,43.0
2363,23,100,100,3000,0.08,0.9,87.0,3000,43.0
2364,24,100,100,3000,0.08,0.9,88.0,3000,43.0
2365,25,100,100,3000,0.08,0.9,89.0,3000,44.0
2366,26,100,100,3000,0.08,0.9,88.0,3000,43.0
2367,27,100,100,3000,0.08,0.9,84.0,3000,43.0
2368,28,100,100,3000,0.08,0.9,86.0,3000,44.0
2369,29,100,100,3000,0.08,0.9,87.0,3000,44.0
2370,0,100,100,3000,0.08,1.0,85.0,3000,44.0
2371,1,100,100,3000,0.08,1.0,90.0,3000,43.0
2372,2,100,100,3000,0.08,1.0,86.0,3000,43.0
2373,3,100,100,3000,0.08,1.0,85.0,3000,42.0
2374,4,100,100,3000,0.08,1.0,86.0,3000,43.0
2375,5,100,100,3000,0.08,1.0,87.0,3000,43.0
2376,6,100,100,3000,0.08,1.0,86.0,3000,44.0
2377,7,100,100,3000,0.08,1.0,86.0,3000,43.0
2378,8,100,100,3000,0.08,1.0,88.0,3000,44.0
2379,9,100,100,3000,0.08,1.0,89.0,3000,45.0
2380,10,100,100,3000,0.08,1.0,88.0,3000,43.0
2381,11,100,100,3000,0.08,1.0,86.0,3000,43.0
2382,12,100,100,3000,0.08,1.0,87.0,3000,43.0
2383,13,100,100,3000,0.08,1.0,85.0,3000,43.0
2384,14,100,100,3000,0.08,1.0,87.0,3000,43.0
2385,15,100,100,3000,0.08,1.0,86.0,3000,44.0
2386,16,100,100,3000,0.08,1.0,86.0,3000,43.0
2387,17,100,100,3000,0.08,1.0,88.0,3000,43.0
2388,18,100,100,3000,0.08,1.0,86.0,3000,43.0
2389,19,100,100,3000,0.08,1.0,86.0,3000,42.0
2390,20,100,100,3000,0.08,1.0,89.0,3000,43.0
2391,21,100,100,3000,0.08,1.0,88.0,3000,43.0
2392,22,100,100,3000,0.08,1.0,89.0,3000,44.0
2393,23,100,100,3000,0.08,1.0,86.0,3000,43.0
2394,24,100,100,3000,0.08,1.0,87.0,3000,43.0
2395,25,100,100,3000,0.08,1.0,89.0,3000,43.0
2396,26,100,100,3000,0.08,1.0,88.0,3000,44.0
2397,27,100,100,3000,0.08,1.0,87.0,3000,42.0
2398,28,100,100,3000,0.08,1.0,86.0,3000,43.0
2399,29,100,100,3000,0.08,1.0,88.0,3000,43.0
2400,0,100,100,3000,0.09,0.1,83.0,3000,42.0
2401,1,100,100,3000,0.09,0.1,79.0,3000,41.0
2402,2,100,100,3000,0.09,0.1,84.0,3000,43.0
2403,3,100,100,3000,0.09,0.1,82.0,3000,41.0
2404,4,100,100,3000,0.09,0.1,83.0,3000,43.0
2405,5,100,100,3000,0.09,0.1,81.0,3000,43.0
2406,6,100,100,3000,0.09,0.1,84.0,3000,42.0
2407,7,100,100,3000,0.09,0.1,83.0,3000,44.0
2408,8,100,100,3000,0.09,0.1,81.0,3000,45.0
2409,9,100,100,3000,0.09,0.1,81.0,3000,44.0
2410,10,100,100,3000,0.09,0.1,83.0,3000,45.0
2411,11,100,100,3000,0.09,0.1,84.0,3000,44.0
2412,12,100,100,3000,0.09,0.1,85.0,3000,43.0
2413,13,100,100,3000,0.09,0.1,82.0,3000,43.0
2414,14,100,100,3000,0.09,0.1,82.0,3000,44.0
2415,15,100,100,3000,0.09,0.1,81.0,3000,44.0
2416,16,100,100,3000,0.09,0.1,81.0,3000,43.0
2417,17,100,100,3000,0.09,0.1,83.0,3000,44.0
2418,18,100,100,3000,0.09,0.1,81.0,3000,49.0
2419,19,100,100,3000,0.09,0.1,84.0,3000,44.0
2420,20,100,100,3000,0.09,0.1,83.0,3000,42.0
2421,21,100,100,3000,0.09,0.1,82.0,3000,42.0
2422,22,100,100,3000,0.09,0.1,81.0,3000,44.0
2423,23,100,100,3000,0.09,0.1,83.0,3000,44.0
2424,24,100,100,3000,0.09,0.1,82.0,3000,45.0
2425,25,100,100,3000,0.09,0.1,83.0,3000,44.0
2426,26,100,100,3000,0.09,0.1,84.0,3000,43.0
2427,27,100,100,3000,0.09,0.1,83.0,3000,47.0
2428,28,100,100,3000,0.09,0.1,84.0,3000,43.0
