Mutation Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.01,3576.42,779.1552862772471,48.196666666666665,3.697326461842431
0.02,4472.203333333333,1082.3544331929324,53.02333333333333,4.855378931740703
0.03,6862.733333333334,1877.826540785869,64.01666666666667,7.9026088293627454
0.04,11573.603333333333,3791.93219064508,83.04333333333334,14.6388447223442
0.05,21024.273333333334,7702.977015085711,117.41666666666667,25.535922410074242
0.06,42822.986666666664,17870.33699591721,190.09333333333333,57.970104931548995
0.07,90037.84,41135.03738643834,337.27666666666664,125.81541446611305
0.08,209146.49,91728.30791556879,709.2366666666667,276.3359171719931
0.09,493877.96,232638.27639143917,1575.1533333333334,711.4652856355241
0.1,1171951.86,581508.57475955,3624.1133333333332,1754.5140711628926
