Crossover Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.1,318656.98333333334,592258.8026384175,1021.5,1793.9954912826495
0.2,292186.92,540682.1437520458,942.6266666666667,1642.2218656876723
0.3,251377.55666666667,472802.887429514,818.8866666666667,1440.612685696444
0.4,217823.97333333333,392961.43729437474,718.4266666666666,1200.016690779502
0.5,193107.49,377989.7956461151,644.1066666666667,1157.5205374438228
0.6,182813.33666666667,356301.4449236849,611.8866666666667,1089.64766504377
0.7,173168.12333333332,332369.2629318094,582.4833333333333,1019.2709981228102
0.8,148888.09333333332,289049.9790262835,508.24,886.605021385785
0.9,149036.92333333334,283272.8761715916,508.64666666666665,870.5104191152355
1.0,128286.97,233046.27708247656,444.76666666666665,717.1167643659372
